artist	title	original_songs
YEKproject	Death of Angel Ring-DEAD DRIVE-	いざ、倒れ逝くその時まで/Civilization of Magic
Yonder Voice	絶景エピローグ	魔術師メリー/科学世紀の少年少女
Yonder Voice	決別の旅	ネクロファンタジア/少女秘封倶楽部/童祭　～ Innocent Treasures
Yonder Voice	星月トラジコメディー	月面ツアーへようこそ
Yonder Voice	星夜万華鏡	恋色マスタースパーク
Yonder Voice	千ノ縁	ネクロファンタジア
Yonder Voice / 瑶山百霊	蒼月の懺悔詩～Universal Nemesis	U.N.オーエンは彼女なのか？
Yonder Voice / 瑶山百霊	芬陀利華 ～シラハチス～	法界の火
おかかとんかつ	RED ALERT RANA	柳の下のデュラハン
おかかとんかつ	徹底探索ダウジンガーのテーマ	春の湊に/小さな小さな賢将
おかかとんかつ	こいし、来い恋し	ハルトマンの妖怪少女
ちょこふぁん	ストロベリームーン	亡き王女の為のセプテット/U.N.オーエンは彼女なのか？
ちょこふぁん	THUNDER PARTY	始原のビート　～ Pristine Beat
はるちん	おもいでびより【フォールオブフォール】	フォールオブフォール　～ 秋めく滝
はるちん	U.N.オーエンはRapperなのか?	U.N.オーエンは彼女なのか？
はるちん	ハルトマンガール	ハルトマンの妖怪少女
はるちん	Amateras moon	懐かしき東方の血　～ Old World/プレインエイジア/エクステンドアッシュ　～ 蓬莱人
はるちん	U.N.オーエンは彼女なのか?-HAL RMX-	U.N.オーエンは彼女なのか？
はるちん	月見酒～想ひ萃まる夢月夜～	砕月
アインリート	空の考えたシュバルツカッコいい歌	霊知の太陽信仰　～ Nuclear Fusion
ナトリニウム	ヨルサクラシンクトリカ	妖々跋扈
ナトリニウム	幻想のEnsemble	幽霊楽団　～ Phantom Ensemble
ナトリニウム	心色コントラスター	人形裁判　～ 人の形弄びし少女
ナトリニウム	Edge of words	ヴワル魔法図書館/ラクトガール　～ 少女密室
フロイパー	Shade Lamp	妖魔夜行
フロイパー	Rains say halo	万年置き傘にご注意を
モジャン棒	フールプールルーム	おてんば恋娘
モジャン棒	星間デリンジャー	竹取飛翔　～ Lunatic Princess
モジャン棒	双尾ステップ	遠野幻想物語/ティアオイエツォン(withered leaf)
モジャン棒	白の瞳景	デザイアドライブ/古きユアンシェン
凋叶棕 feat.めらみぽっぷ	パラレルスカイ ～ Ambitious Explorer	少女が見た日本の原風景
凋叶棕 feat.めらみぽっぷ	童遊	童祭　～ Innocent Treasures
凋叶棕 feat.めらみぽっぷ	うつろわざるもの ～ True Conclusion	有頂天変　～ Wonderful Heaven/幼心地の有頂天
凋叶棕 feat.めらみぽっぷ	マッドパーティー ～ A Magusnificent Plan	魔女達の舞踏会　～ Magus
凋叶棕 feat.めらみぽっぷ	ヒカリ ～ Miscarried Princess	the Grimoire of Alice/人形裁判　～ 人の形弄びし少女
凋叶棕 feat.めらみぽっぷ	Unprivileged Access	少女さとり　～ 3rd eye
凋叶棕 feat.めらみぽっぷ	その正しき言葉のもとに	六十年目の東方裁判　～ Fate of Sixty Years
凋叶棕 feat.めらみぽっぷ	スターシーカー ～ Where no man has gone before.	恋色マジック/星の器　～ Casket of Star
凋叶棕 feat.めらみぽっぷ	絶対的一方通行 ～ Unreachable Message	ネクロファンタジア/夜が降りてくる　～ Evening Star
凋叶棕 feat.めらみぽっぷ	胎児の夢 ～ Soul Undertone	ラストリモート/ハルトマンの妖怪少女/無間の鐘　～ Infinite Nightmare
凋叶棕 feat.めらみぽっぷ	そしていつかまた出逢って ～ Eternal Flower	桜花之恋塚　～ Flower of Japan
凋叶棕 feat.めらみぽっぷ	encourager	少女が見た日本の原風景
宇宙色ふぉーす	あの山で出会った妖怪のための曲	フォールオブフォール　～ 秋めく滝
宇宙色ふぉーす	Memories	輝く針の小人族　～ Little Princess
少女フラクタル/天宮みや、姫城碧海	夢色プレリュード	セラフィックチキン
少女理論観測所/556t(回路)	Hollow Masquerade	亡失のエモーション
少女理論観測所/556t(回路)	詠み人知らず	幽雅に咲かせ、墨染の桜　～ Border of Life/死霊の夜桜/ゴーストリード
少女理論観測所/あやぽんず*(森羅万象)	壊れた人形のマーチ	魔法少女達の百年祭/U.N.オーエンは彼女なのか？
少女理論観測所/あやぽんず*(森羅万象)	理想主義とガールフレンド	他愛も無い二人の博物誌/Dr.レイテンシーの眠れなくなる瞳
少女理論観測所/あやぽんず*(森羅万象)	Stranger time	メイドと血の懐中時計
少女理論観測所/あやぽんず*(森羅万象)	silently arity	信仰は儚き人間の為に
少女理論観測所/あやぽんず*(森羅万象)	ナツカゲニサク	今昔幻想郷　～ Flower Land
少女理論観測所/あやぽんず*(森羅万象)	フユゾラナガル	おてんば恋娘
少女理論観測所/あやぽんず*(森羅万象)	ウシロドアイタヒ	秘神マターラ　～ Hidden Star in All Seasons.
少女理論観測所/あやぽんず*(森羅万象)	AlternaCrime	六十年目の東方裁判　～ Fate of Sixty Years
少女理論観測所/あやぽんず*(森羅万象)	Rozen cry	亡き王女の為のセプテット
少女理論観測所/あるす(Satellite Himawari)	夜を重ねて	千年幻想郷　～ History of the Moon/竹取飛翔　～ Lunatic Princess
少女理論観測所/うきね	崇拝ですポータブルな神様崇拝です溶ける -Band Edition-	トロヤ群の密林
少女理論観測所/うきね	REDLINE越える -Band Edition-	虎柄の毘沙門天
少女理論観測所/うきね	魔法少女theory	魔法少女達の百年祭
少女理論観測所/ななひら	春空ハレルヤ	東方妖々夢　～ Ancient Temple/広有射怪鳥事　～ Till When?/幽雅に咲かせ、墨染の桜　～ Border of Life
少女理論観測所/テラ	CRAZY半霊STYLE -Band Edition-	東方妖々夢　～ Ancient Temple
少女理論観測所/テラ	致死量の夜	U.N.オーエンは彼女なのか？
少女理論観測所/保科	アンダードッグアンセム	天空のグリニッジ
少女理論観測所/咲子	Last Donation -Band Edition-	東方妖々夢　～ Ancient Temple/広有射怪鳥事　～ Till When?
少女理論観測所/咲子	Kara-kasa goes on -Band Edition-	万年置き傘にご注意を
少女理論観測所/咲子	Last Donation	東方妖々夢　～ Ancient Temple/広有射怪鳥事　～ Till When?
少女理論観測所/咲子	Reversible Negophilia	ハートフェルトファンシー/少女さとり　～ 3rd eye/ハルトマンの妖怪少女
少女理論観測所/咲子	Mary Go,Merry Happy	ヒロシゲ36号　～ Neo Super-Express/大空魔術　～ Magical Astronomy
少女理論観測所/咲子	風ニ踊ル朱ニ消ユ	妖怪の山　～ Mysterious Mountain/あなたの町の怪事件
少女理論観測所/彩、谷屋楽、玉谷(へたのよこずき)	アイシクル☆センセイション	おてんば恋娘
少女理論観測所/提灯	月に憑かれたウサギ	狂気の瞳　～ Invisible Full Moon
少年ヴィヴィッド	レイニーレイニー	リジッドパラダイス
少年ヴィヴィッド	メランコリ	明日ハレの日、ケの昨日
少年ヴィヴィッド	モノクロ	星の器　～ Casket of Star
少年ヴィヴィッド	holic	狂気の瞳　～ Invisible Full Moon
少年ヴィヴィッド	Falling down!	明治十七年の上海アリス
幽閉サテライト/senya	零れずの願いゴト	砕月
暁Records	DOWN DOWN DOLL	ブクレシュティの人形師/人形裁判　～ 人の形弄びし少女
暁Records	Killove Fireproof!	シンデレラケージ　～ Kagome-Kagome/竹取飛翔　～ Lunatic Princess/エクステンドアッシュ　～ 蓬莱人/月まで届け、不死の煙
暁Records	Metamorphosis	クレイジーバックダンサーズ/秘匿されたフォーシーズンズ
暁Records	TOP SECRET -My Red World-	月時計　～ ルナ・ダイアル/亡き王女の為のセプテット/U.N.オーエンは彼女なのか？
暁Records	STILL HERE	幽霊楽団　～ Phantom Ensemble
暁Records	二人の結晶	少女秘封倶楽部/古の冥界寺/魔術師メリー/科学世紀の少年少女/ヒロシゲ36号　～ Neo Super-Express/天空のグリニッジ/大空魔術　～ Magical Astronomy
暁Records	OMEN	法界の火/感情の摩天楼　～ Cosmic Mind
暁Records	ユメハサカユメ	永遠の春夢/逆転するホイールオブフォーチュン
暁Records	トランスダンスアナーキー	クレイジーバックダンサーズ
暁Records	Shout It Out Loud!!!	もう歌しか聞こえない/門前の妖怪小娘
暁Records	Money Money	今宵は飄逸なエゴイスト(Live ver)　～ Egoistic Flowers.
暁Records	LOVE EAST	厄神様の通り道　～ Dark Road/運命のダークサイド
森羅万象	全力ハッピーライフ	狂気の瞳　～ Invisible Full Moon
森羅万象	シアワセエゴイスト	お宇佐さまの素い幡
森羅万象	有頂天ドリーマーズ	有頂天変　～ Wonderful Heaven
森羅万象	悪戯センセーション	亡き王女の為のセプテット/U.N.オーエンは彼女なのか？
森羅万象	あうんどばいみー	一対の神獣
空騒中継点	脱兎の行方と竹の花	眠れる恐怖　～ Sleeping Terror/狂気の瞳　～ Invisible Full Moon/今昔幻想郷　～ Flower Land
空騒中継点	アンチネイチャー	恋色マスタースパーク/桜花之恋塚　～ Flower of Japan
空騒中継点	やさしい花の育て方	年中夢中の好奇心/桜花之恋塚　～ Japanese Flower
空騒中継点	スロウライフ	月時計　～ ルナ・ダイアル/桜花之恋塚　～ Flower of Japan
空騒中継点	冒険賛歌	年中夢中の好奇心/桜花之恋塚　～ Japanese Flower
空騒中継点	輪廻の踊り場	東方妖々夢　～ Ancient Temple/桜花之恋塚　～ Japanese Flower
空騒中継点	バラの庭 Gate & Umbrella	上海紅茶館　～ Chinese Tea/桜花之恋塚　～ Flower of Japan
空騒中継点	0-1(make a noise)	妖々跋扈/少女幻葬　～ Necro-Fantasy
空騒中継点	嘯風弄月	蠢々秋月　～ Mooned Insect/桜花之恋塚　～ Japanese Flower
空騒中継点	クリアダイバー	無何有の郷　～ Deep Mountain/クリスタライズシルバー/桜花之恋塚　～ Japanese Flower
空騒中継点	R.E.D	亡き王女の為のセプテット/今昔幻想郷　～ Flower Land/桜花之恋塚　～ Japanese Flower
空騒中継点	カレイドスコープ	ネクロファンタジア/今昔幻想郷　～ Flower Land/桜花之恋塚　～ Japanese Flower
空騒中継点	流血帯	U.N.オーエンは彼女なのか？/今昔幻想郷　～ Flower Land/桜花之恋塚　～ Japanese Flower
空騒中継点	Brand new worlds	眠れる恐怖　～ Sleeping Terror/千年幻想郷　～ History of the Moon/竹取飛翔　～ Lunatic Princess
空騒中継点	ファインドアウトザナイトフライト シャウトイントゥアゲインスト	満月の竹林/孤独なウェアウルフ
雪風ルーフ	雪、白く	東方妖々夢　～ Ancient Temple/広有射怪鳥事　～ Till When?
雪風ルーフ	ブラックサイド	ほおずきみたいに紅い魂
雪風ルーフ	星降る夜	小さな欲望の星空
雪風ルーフ	star river	恋色マスタースパーク
雪風ルーフ	fragile sacrifice	U.N.オーエンは彼女なのか？
雪風ルーフ	yoi-ヨイ-	妖魔夜行
雪風ルーフ	夜に向かう黄昏	フラワリングナイト
