karaoke_type	display_artist	circle
DAM	少女フラクタル(柚木梨沙)	少女フラクタル
DAM	少女フラクタル(天宮みや&如月鈴&柚木梨沙)	少女フラクタル
DAM	少女理論観測所	少女理論観測所
DAM	岸田教団&THE明星ロケッツ	岸田教団&THE明星ロケッツ
DAM	幽閉サテライト/senya	幽閉サテライト
DAM	幽閉サテライト with 岸田教団&THE明星ロケッツ	幽閉サテライト
DAM	幽閉サテライト/兎明	幽閉サテライト
DAM	幽閉サテライト	幽閉サテライト
DAM	幽閉サテライト/Yuzurisa	幽閉サテライト
DAM	暁Records	暁Records
DAM	森羅万象	森羅万象
DAM	石鹸屋	石鹸屋
DAM	羽っ鳥もさく共和国	羽っ鳥もさく共和国
DAM	豚乙女	豚乙女
DAM	魂音泉	魂音泉
DAM	ゼッケン屋	ゼッケン屋
DAM	コバヤシユウヤ×あにー	
DAM	紺碧studio	紺碧studio
DAM	Tatsh×黒田椋子	
DAM	発熱巫女～ず	発熱巫女～ず
DAM	Pizuya's Cell	Pizuya's Cell
DAM	藤咲かりん(miko)	イオシス
DAM	舞風-MAIKAZE/沙紗飛鳥	舞風-MAIKAZE
DAM	舞風-MAIKAZE/時音-TOKINE	舞風-MAIKAZE
DAM	いとうかなこ	
